simulation,analysis,data,node,trial,scenario,heuristic,type,time,simulator-normalization
1,4,4,128,1,decreasing0.5,even-even,Simulator,145.0391,1.0
1,4,4,128,1,decreasing0.5,even-even,Model(B),6.122390237929728,23.68994695918707623431
1,4,4,128,1,decreasing0.5,even-even,Model(B1),9.247390237929729,15.68432782311896994699
1,4,4,128,1,decreasing0.5,even-even,Model(B2),88.43118145699248,1.64013527367083917775
1,4,4,128,1,decreasing0.5,even-even,Model(B3),253.04876389511796,.57316660143858628931
1,4,4,128,1,decreasing0.75,model-model,Simulator,217.2875,1.0
1,4,4,128,1,decreasing0.75,model-model,Model(B),5.577568358677804,38.95738895999999968684
1,4,4,128,1,decreasing0.75,model-model,Model(B1),9.07708575957557,23.93802435663668508489
1,4,4,128,1,decreasing0.75,model-model,Model(B2),88.26087697863831,2.46187787203371967310
1,4,4,128,1,decreasing0.75,model-model,Model(B3),252.8784594167638,.85925665832174708840
1,4,4,128,1,decreasing0.75,model-even,Simulator,217.2807,1.0
1,4,4,128,1,decreasing0.75,model-even,Model(B),5.95208575957557,36.50496796865605033804
1,4,4,128,1,decreasing0.75,model-even,Model(B1),9.07708575957557,23.93727521752088169326
1,4,4,128,1,decreasing0.75,model-even,Model(B2),88.26087697863831,2.46180082770521559765
1,4,4,128,1,decreasing0.75,model-even,Model(B3),252.8784594167638,.85922976793331430749
1,4,4,128,1,decreasing0.75,even-model,Simulator,217.2375,1.0
1,4,4,128,1,decreasing0.75,even-model,Model(B),7.462710086934431,29.10973325633207009236
1,4,4,128,1,decreasing0.75,even-model,Model(B1),9.546043420267763,22.75681038059918736280
1,4,4,128,1,decreasing0.75,even-model,Model(B2),91.06134868830328,2.38561698381592160502
1,4,4,128,1,decreasing0.75,even-model,Model(B3),260.34195922437436,.83443137881886720155
1,4,4,128,1,decreasing0.75,even-even,Simulator,217.2316,1.0
1,4,4,128,1,decreasing0.75,even-even,Model(B),7.520776721014494,28.88419747830210214822
1,4,4,128,1,decreasing0.75,even-even,Model(B1),9.604110054347826,22.61860794709013442467
1,4,4,128,1,decreasing0.75,even-even,Model(B2),91.11941532238336,2.38403197860113303395
