simulation,analysis,data,node,scenario,heuristic,time,model,model-bw,ideal-normalization,model-normalization
16,4,4,64,decreasing0.5,model-model,2312.0540,1561.8094033493387,7326.664554663416,12.13102247649669290446,1.00000000000000000000
16,4,4,64,decreasing0.5,model-even,2311.8451,1542.944117079713,7326.664554663416,8.45512813010651541993,.99990964743903040326
16,4,4,64,decreasing0.5,even-model,2314.8950,4685.428210048016,7326.664554663416,12.72448185923281361224,1.00122877752855253380
16,4,4,64,decreasing0.5,even-even,2314.1320,4628.832351239139,7326.664554663416,11.27336446890818772734,1.00089876793535099093
16,4,4,64,decreasing0.75,model-model,3467.9759,3152.5098303311997,7202.322333196025,18.19598226981240378571,1.00000000000000000000
16,4,4,64,decreasing0.75,model-even,3467.5610,3116.372913438084,7202.322333196025,12.68193641259108524013,.99988036249040830993
16,4,4,64,decreasing0.75,even-model,3474.3313,9457.529490993598,9457.529490993598,19.09765479635782975904,1.00183259635685472900
16,4,4,64,decreasing0.75,even-even,3480.3322,9349.11874031425,9349.11874031425,16.95454423666284576296,1.00356297170346541335
16,4,4,64,ideal,model-model,208.6243,204.02296195652175,204.02296195652175,1.00000000000000000000,1.00000000000000000000
16,4,4,64,ideal,model-even,277.0745,271.7391304347826,271.7391304347826,1.00000000000000000000,1.32810271861906786505
16,4,4,64,ideal,even-model,165.6596,162.60672230848863,162.60672230848863,1.00000000000000000000,.79405706813635803691
16,4,4,64,ideal,even-even,203.9927,200.81570652173912,200.81570652173912,1.00000000000000000000,.97779932634884814472
16,4,4,64,transit,model-model,4623.9684,4822.7292361197005,4822.7292361197005,22.16409306106719111819,1.00000000000000000000
16,4,4,64,transit,model-even,4623.1146,4753.730764652309,4753.730764652309,16.68545679952503748991,.99981535340942208861
16,4,4,64,transit,even-model,4630.4227,14468.187708359099,14468.187708359099,27.95142992014951140773,1.00139583566358282206
16,4,4,64,transit,even-even,4627.7205,14261.192293956923,14261.192293956923,22.68571620455045695262,1.00081144585676666821
16,4,4,64,increasing0.25,model-model,1156.9058,509.7108242753623,509.7108242753623,5.54540290848189784219,1.00000000000000000000
16,4,4,64,increasing0.25,model-even,1156.6936,632.941066576087,632.941066576087,4.17466638034174924072,.99981657970769962429
